,officialbritainfirst,ukip
Date,,
1/1/15,85520,12902
2/1/15,59648,7212
3/1/15,54371,8125
4/1/15,37936,22953
5/1/15,57385,24823
6/1/15,60500,4189
7/1/15,67696,3621
8/1/15,46076,3916
9/1/15,111971,4483
10/1/15,43810,3644
11/1/15,82532,2371
12/1/15,36499,2667
1/1/16,24175,1959
2/1/16,18428,4150
3/1/16,27285,3582
4/1/16,21270,5399
5/1/16,41597,6429
6/1/16,68539,9877
7/1/16,27508,2203
