,officialbritainfirst,ukip
Date,,
1/1/15,85520,12902
2/1/15,81506,12136
3/1/15,80391,14428
4/1/15,59484,33359
5/1/15,81469,41403
6/1/15,90061,13909
7/1/15,98273,12111
8/1/15,75172,12290
9/1/15,153458,13371
10/1/15,80476,12873
11/1/15,122950,9112
12/1/15,70326,10046
1/1/16,53449,8628
2/1/16,48291,12651
3/1/16,64493,11003
4/1/16,57597,14152
5/1/16,86007,17271
6/1/16,123618,21386
7/1/16,68743,7672
