,officialbritainfirst,ukip
Date,,
1/1/15,214112,44981
2/1/15,192474,38714
3/1/15,170296,41209
4/1/15,113034,100426
5/1/15,142210,119019
6/1/15,181048,42834
7/1/15,185757,34455
8/1/15,147387,31426
9/1/15,303474,36194
10/1/15,193776,39139
11/1/15,258133,24725
12/1/15,177729,27364
1/1/16,159129,27496
2/1/16,139913,39337
3/1/16,205689,36660
4/1/16,204855,39541
5/1/16,261785,48438
6/1/16,311170,54846
7/1/16,176898,18942
